#Frame   secstr.dat[Extended] secstr.dat[Bridge] secstr.dat[3-10] secstr.dat[Alpha] secstr.dat[Pi] secstr.dat[Turn] secstr.dat[Bend]
       1                0.164              0.011            0.048             0.228          0.000            0.116            0.164
       2                0.159              0.011            0.085             0.196          0.000            0.148            0.122
       3                0.169              0.011            0.058             0.196          0.000            0.175            0.122
       4                0.159              0.011            0.085             0.196          0.000            0.169            0.106
       5                0.169              0.021            0.085             0.185          0.000            0.153            0.138
       6                0.169              0.011            0.069             0.201          0.000            0.159            0.132
       7                0.169              0.021            0.079             0.201          0.000            0.143            0.143
       8                0.148              0.016            0.095             0.196          0.000            0.153            0.132
       9                0.169              0.011            0.069             0.196          0.000            0.153            0.132
      10                0.169              0.011            0.085             0.201          0.000            0.159            0.116
      11                0.169              0.011            0.085             0.206          0.000            0.148            0.122
      12                0.164              0.011            0.101             0.190          0.000            0.143            0.127
      13                0.190              0.011            0.095             0.196          0.000            0.127            0.143
      14                0.175              0.011            0.095             0.196          0.000            0.132            0.138
      15                0.164              0.011            0.069             0.212          0.000            0.153            0.116
      16                0.169              0.011            0.048             0.185          0.000            0.175            0.143
      17                0.169              0.021            0.053             0.217          0.000            0.122            0.148
      18                0.169              0.011            0.058             0.185          0.000            0.159            0.153
      19                0.185              0.011            0.101             0.190          0.000            0.159            0.106
      20                0.164              0.011            0.048             0.201          0.000            0.180            0.116
      21                0.159              0.016            0.095             0.201          0.000            0.143            0.122
      22                0.169              0.011            0.085             0.196          0.000            0.132            0.127
      23                0.169              0.021            0.085             0.196          0.000            0.185            0.111
      24                0.169              0.021            0.053             0.206          0.000            0.175            0.132
      25                0.164              0.011            0.069             0.212          0.000            0.153            0.111
      26                0.169              0.021            0.111             0.196          0.000            0.122            0.138
      27                0.180              0.011            0.095             0.196          0.000            0.143            0.111
      28                0.159              0.011            0.069             0.212          0.000            0.159            0.106
      29                0.164              0.011            0.074             0.212          0.000            0.122            0.153
      30                0.180              0.011            0.095             0.185          0.000            0.164            0.106
      31                0.169              0.011            0.053             0.206          0.000            0.175            0.122
      32                0.169              0.011            0.069             0.196          0.000            0.143            0.143
      33                0.175              0.011            0.069             0.185          0.000            0.190            0.095
      34                0.164              0.011            0.095             0.175          0.000            0.148            0.116
      35                0.169              0.011            0.101             0.190          0.000            0.143            0.132
      36                0.169              0.011            0.085             0.217          0.000            0.132            0.122
      37                0.169              0.011            0.101             0.196          0.000            0.138            0.111
      38                0.169              0.021            0.095             0.206          0.000            0.138            0.116
      39                0.164              0.016            0.053             0.196          0.000            0.190            0.116
      40                0.190              0.011            0.069             0.190          0.000            0.164            0.132
      41                0.169              0.021            0.069             0.201          0.000            0.175            0.122
      42                0.159              0.021            0.101             0.185          0.000            0.175            0.106
      43                0.180              0.011            0.101             0.196          0.000            0.132            0.138
      44                0.164              0.021            0.085             0.201          0.000            0.148            0.132
      45                0.180              0.021            0.085             0.206          0.000            0.143            0.138
      46                0.169              0.011            0.069             0.201          0.000            0.175            0.116
      47                0.201              0.021            0.085             0.201          0.000            0.153            0.111
      48                0.169              0.016            0.101             0.201          0.000            0.122            0.127
      49                0.169              0.011            0.053             0.201          0.000            0.164            0.148
      50                0.164              0.011            0.063             0.196          0.000            0.132            0.164
      51                0.169              0.011            0.069             0.222          0.000            0.159            0.116
      52                0.169              0.011            0.085             0.196          0.000            0.127            0.143
      53                0.169              0.011            0.069             0.196          0.000            0.148            0.138
      54                0.169              0.011            0.101             0.190          0.000            0.127            0.148
      55                0.169              0.011            0.069             0.201          0.000            0.138            0.159
      56                0.169              0.011            0.090             0.212          0.000            0.116            0.153
      57                0.159              0.011            0.053             0.206          0.000            0.169            0.138
      58                0.169              0.011            0.063             0.222          0.000            0.138            0.132
      59                0.169              0.011            0.101             0.196          0.000            0.159            0.111
      60                0.169              0.000            0.069             0.201          0.000            0.169            0.143
      61                0.180              0.000            0.101             0.196          0.000            0.148            0.138
      62                0.164              0.000            0.079             0.196          0.000            0.153            0.127
      63                0.159              0.000            0.085             0.175          0.000            0.175            0.132
