#Frame   WS_00002[lower] WS_00002[upper]
       1               9              13
       2              10              15
       3              10              13
       4              10              14
       5              10              13
       6              10              14
       7              10              14
       8              10              13
       9               9              14
      10               9              14
      11              11              12
      12               9              13
      13              10              12
      14              10              14
      15              10              13
      16              10              14
      17              10              13
      18              10              12
      19              10              14
      20              10              14
      21              10              14
      22              11              14
      23              11              13
      24               9              13
      25               9              12
      26               9              14
      27               9              13
      28               9              13
      29              10              14
      30               9              14
      31               9              13
      32               7              11
      33               7              13
      34               7              11
      35               9              14
      36               7              12
      37               8              10
      38               8              12
      39               8              11
      40               8              12
      41               8              12
      42               8              12
      43               8              13
      44               9              12
      45               9              13
      46               8              12
      47               8              14
      48               8              13
      49               9              13
      50               9              14
      51               9              12
      52               9              14
      53               9              13
      54              10              11
      55              10              13
      56               8              12
      57               8              11
      58               9              12
      59               9              13
      60               9              14
      61               9              14
      62               9              13
      63              11              14
      64              11              13
      65              11              13
      66              11              13
      67              11              12
      68              11              13
      69              11              13
      70              11              14
      71              11              14
      72              11              15
      73              11              16
      74              11              13
      75              11              14
      76              11              13
      77              10              14
      78              11              13
      79              11              14
      80              11              16
      81              11              12
      82              11              14
      83              11              13
      84              11              13
      85              11              13
      86              11              13
      87              11              13
      88              11              14
      89              11              13
      90              10              12
      91              10              12
      92              11              13
      93              10              13
      94              11              14
      95              11              12
      96              11              14
      97              11              13
      98              10              13
      99              11              14
     100              11              13
     101              10              13
     102              11              13
     103              11              15
     104              10              12
     105              11              11
     106              11              14
     107              10              13
     108              11              13
     109              11              13
     110              11              14
     111              11              14
     112               8              13
     113              10              12
     114              10              12
     115              11              12
     116              11              14
     117              10              15
     118              11              14
     119              11              14
     120              10              14
     121              11              13
     122              11              14
     123              11              12
     124              10              13
     125              10              15
     126              12              14
     127              11              13
     128              10              13
     129              11              14
     130              11              15
     131              10              12
     132              11              14
     133              10              12
     134              11              12
     135              11              13
     136              11              14
     137              10              12
     138              11              12
     139              11              15
     140              11              13
     141              11              13
     142              10              13
